#[命运石之门][代码敲得对][2020.08.22 16:48:25 线上][2020 CCGC];
R:A5-1;B5-6;C5-5;A4-2;B4-3;A3-4;
B:E3-3;D2-4;E2-5;C1-2;D1-1;E1-6;
1:4;(R4,B3)
2:1;(B1,C1)
3:6;(R6,B4)
4:1;(B1,B2)
5:2;(R2,A3)
6:5;(B5,E3)
7:1;(R1,A4)
8:4;(B4,C3)
9:2;(R2,A2)
10:5;(B5,D4)
11:4;(R4,C3)
12:6;(B6,D2)
13:2;(R2,B1)
14:4;(B5,C5)
15:4;(R4,D2)
16:4;(B5,B5)
17:5;(R4,E1)
