#[命运石之门][代码敲得对][2020.08.22 16:41:26 线上][2020 CCGC];
R:A5-1;B5-6;C5-5;A4-4;B4-2;A3-3;
B:E3-3;D2-4;E2-5;C1-2;D1-1;E1-6;
1:1;(R1,B5)
2:1;(B1,C1)
3:1;(R1,C5)
4:2;(B1,C2)
5:5;(R4,A3)
6:5;(B5,E3)
7:1;(R1,D4)
8:1;(B1,C3)
9:3;(R4,B2)
10:5;(B5,E4)
11:1;(R1,E3)
12:4;(B4,D3)
13:1;(R1,E2)
14:5;(B5,D5)
15:1;(R1,E1)
