#[命运石之门][代码敲得对][2020.08.22 16:54:41 线上][2020 CCGC];
R:A5-6;B5-1;C5-2;A4-5;B4-4;A3-3;
B:E3-3;D2-4;E2-5;C1-2;D1-1;E1-6;
1:1;(R1,C5)
2:6;(B6,D2)
3:4;(R4,B3)
4:2;(B2,B2)
5:4;(R4,B2)
6:1;(B1,D2)
7:4;(R4,C2)
8:1;(B1,C2)
9:2;(R1,C4)
10:3;(B3,D4)
11:1;(R1,C3)
12:4;(B3,C5)
13:4;(R3,A2)
14:4;(B3,B5)
15:5;(R5,A3)
16:5;(B5,D2)
17:1;(R1,C2)
18:4;(B3,A5)
